label,rms_mV,peak_to_peak_mV,crest_factor,rms_ripple_mV,frequency_hz
sag_leve,97.536,290.103,1.519,0.1616,60.543
sag_leve,96.209,280.744,1.4698,0.1495,60.174
sag_leve,91.471,278.261,1.5381,0.1403,60.385
sag_leve,103.704,293.013,1.4076,0.2527,60.017
sag_leve,88.434,251.116,1.4202,0.3272,59.81
sag_leve,91.736,267.863,1.4605,0.4493,59.552
sag_leve,98.81,281.758,1.4277,0.4932,59.552
sag_leve,99.702,281.722,1.4119,0.3592,59.81
sag_leve,105.492,306.121,1.4103,0.4456,59.706
sag_leve,101.482,287.902,1.4111,0.2187,60.07
sag_leve,96.562,279.471,1.4318,0.4478,59.603
sag_leve,96.322,275.66,1.3834,0.3331,59.81
sag_leve,103.708,298.235,1.4669,0.1447,60.174
sag_leve,98.626,283.872,1.428,0.4833,59.603
sag_leve,93.537,270.897,1.4629,0.1675,60.174
sag_leve,88.44,250.995,1.4413,0.4245,59.603
sag_leve,96.258,282.609,1.4567,0.1801,60.07
sag_leve,93.745,282.255,1.5017,0.3986,59.758
sag_leve,102.281,293.279,1.4637,0.0818,60.437
sag_leve,104.154,302.95,1.5012,0.1158,60.437
sag_leve,101.036,289.977,1.3593,0.0845,60.49
sag_leve,88.487,254.622,1.4336,0.1164,60.49
sag_leve,102.159,305.155,1.512,0.1463,60.279
sag_leve,91.753,269.779,1.4473,0.3814,59.758
sag_leve,94.042,273.101,1.4311,0.096,60.385
sag_leve,91.557,267.639,1.4426,0.3437,59.81
sag_leve,102.377,300.695,1.4845,0.1738,60.122
sag_leve,93.251,267.383,1.4667,0.1872,60.07
sag_leve,98.681,276.99,1.3975,0.2006,60.07
sag_leve,105.465,304.604,1.3931,0.097,60.279
sag_leve,96.261,280.514,1.5376,0.1024,60.385
sag_leve,87.945,253.937,1.4116,0.0958,60.482
sag_leve,100.734,285.639,1.4134,0.1075,60.385
sag_leve,104.542,297.266,1.4416,0.172,60.122
sag_leve,100.97,289.74,1.4519,0.0795,60.437
sag_leve,96.959,285.733,1.4723,0.511,59.552
sag_leve,103.904,291.685,1.456,0.1159,60.385
sag_leve,105.831,310.431,1.483,0.1204,60.543
sag_leve,97.341,285.145,1.426,0.4166,59.706
sag_leve,94.671,277.631,1.442,0.1933,60.122
sag_leve,89.046,255.792,1.4433,0.1225,60.49
sag_leve,99.594,286.677,1.4683,0.352,59.81
sag_leve,99.022,281.036,1.4056,0.3053,59.861
sag_leve,101.663,293.564,1.4222,0.1374,60.543
sag_leve,91.313,261.376,1.4643,0.2378,59.913
sag_leve,103.869,298.32,1.4434,0.1091,60.437
sag_leve,92.254,265.49,1.4329,0.4186,59.639
sag_leve,91.633,270.227,1.4981,0.4664,59.552
sag_leve,88.506,254.111,1.4199,0.4131,59.603
sag_leve,91.981,266.121,1.4854,0.1348,60.332
sag_leve,100.366,291.039,1.4726,0.3944,59.758
sag_leve,101.77,291.12,1.398,0.2197,60.017
sag_leve,88.805,274.064,1.5048,0.112,60.49
sag_leve,90.599,272.099,1.5758,0.1538,60.227
sag_leve,104.628,303.933,1.4614,0.4618,59.655
sag_leve,104.717,303.243,1.4002,0.355,59.861
sag_leve,97.701,281.858,1.4647,0.4787,59.552
sag_leve,103.38,289.291,1.3322,0.2537,59.965
sag_leve,95.147,272.88,1.4355,0.3766,59.758
sag_leve,104.069,298.941,1.4345,0.1441,60.174
sag_leve,98.897,286.302,1.446,0.0998,60.437
sag_leve,91.573,264.524,1.4455,0.2711,59.965
sag_leve,95.356,259.104,1.3694,0.303,59.81
sag_leve,98.28,281.541,1.4187,0.1254,60.49
sag_leve,95.186,273.643,1.4297,0.2707,59.913
sag_leve,93.366,271.199,1.4521,0.1874,60.07
sag_leve,90.597,245.523,1.3391,0.1047,60.437
sag_leve,95.001,269.622,1.369,0.3534,59.81
sag_leve,94.431,271.344,1.449,0.1056,60.227
sag_leve,90.903,261.146,1.437,0.1513,60.174
sag_leve,91.485,264.54,1.4367,0.1187,60.227
sag_leve,89.105,251.118,1.4163,0.2016,59.965
sag_leve,98.187,285.12,1.3898,0.4191,59.706
sag_leve,103.234,292.684,1.402,0.2455,60.017
sag_leve,104.362,297.438,1.3861,0.2689,60.017
sag_leve,93.395,288.336,1.539,0.1359,60.482
sag_leve,102.464,294.006,1.4435,0.271,59.965
sag_leve,101.844,296.632,1.4439,0.1008,60.437
sag_leve,102.235,278.447,1.299,0.1298,60.227
sag_leve,93.716,266.301,1.4337,0.2412,59.965
sag_leve,92.104,271.388,1.4652,0.4768,59.552
sag_leve,102.557,288.129,1.409,0.341,59.81
sag_leve,92.273,265.62,1.3668,0.2472,59.913
sag_leve,94.651,261.242,1.4064,0.3392,59.706
sag_leve,100.312,285.182,1.4358,0.4407,59.655
sag_leve,90.81,256.717,1.4098,0.0819,60.332
sag_leve,88.786,256.36,1.4679,0.2786,59.861
sag_leve,96.295,273.039,1.4001,0.3171,59.81
sag_leve,100.967,292.56,1.4544,0.3342,59.861
sag_leve,90.265,249.678,1.3862,0.2138,60.017
sag_leve,89.764,258.309,1.4684,0.2332,60.017
sag_leve,90.921,263.63,1.4733,0.1072,60.385
sag_leve,89.505,254.793,1.4192,0.0957,60.49
sag_leve,100.193,277.75,1.3759,0.3044,59.861
sag_leve,99.622,290.314,1.4529,0.2501,59.965
sag_leve,93.264,263.363,1.4038,0.1833,60.122
sag_leve,100.772,301.256,1.4565,0.293,59.965
sag_leve,97.815,279.305,1.4333,0.0823,60.437
sag_leve,99.403,282.086,1.4103,0.084,60.332
sag_leve,99.056,288.762,1.3946,0.2486,59.965
sag_leve,101.682,284.035,1.4069,0.1057,60.49
sag_leve,96.715,280.651,1.4553,0.1839,60.122
sag_leve,102.7,298.813,1.4303,0.4482,59.655
sag_leve,101.531,294.616,1.4341,0.4378,59.706
sag_leve,98.211,281.559,1.4577,0.3519,59.81
sag_leve,98.738,283.296,1.4385,0.2446,60.017
sag_leve,92.359,271.12,1.4286,0.132,60.279
sag_leve,104.313,298.337,1.4185,0.4684,59.655
sag_leve,93.105,265.646,1.4217,0.1149,60.332
sag_leve,103.462,294.985,1.4278,0.3567,59.81
sag_leve,89.477,258.472,1.4678,0.4136,59.655
sag_leve,100.766,286.924,1.4489,0.3888,59.706
sag_leve,88.128,254.745,1.4479,0.1088,60.227
sag_leve,94.121,275.197,1.4978,0.3159,59.861
sag_leve,95.228,272.999,1.3757,0.118,60.49
sag_leve,100.703,289.152,1.395,0.1257,60.227
sag_leve,89.277,255.174,1.4259,0.144,60.279
sag_leve,99.148,268.621,1.324,0.2512,59.965
sag_leve,93.972,272.359,1.4753,0.2265,60.017
sag_leve,95.567,275.031,1.4138,0.2633,59.965
sag_leve,102.079,299.363,1.4724,0.4127,59.758
sag_leve,90.017,257.374,1.4245,0.2078,60.017
sag_leve,89.855,257.835,1.4207,0.2838,59.913
sag_leve,91.376,262.098,1.4458,0.318,59.81
sag_leve,94.559,273.584,1.4485,0.3523,59.81
sag_leve,99.967,277.576,1.4061,0.107,60.227
sag_leve,104.509,293.38,1.4344,0.3538,59.81
sag_leve,97.779,283.052,1.441,0.3554,59.81
sag_leve,102.123,292.855,1.3897,0.3641,59.81
sag_leve,91.445,252.507,1.377,0.1038,60.543
sag_leve,100.377,286.207,1.421,0.4661,59.655
sag_leve,100.952,271.636,1.3418,0.4064,59.655
sag_leve,95.514,270.237,1.3873,0.298,59.913
sag_leve,95.411,268.89,1.4217,0.4366,59.603
sag_leve,100.416,287.985,1.4009,0.1324,60.279
sag_leve,95.894,268.999,1.3824,0.1184,60.279
sag_leve,105.313,306.175,1.4805,0.0806,60.385
sag_leve,101.783,290.228,1.4646,0.1322,60.227
sag_leve,104.582,294.399,1.4105,0.1444,60.174
sag_leve,93.832,285.043,1.5654,0.1462,60.543
sag_leve,104.471,294.042,1.3948,0.2413,60.017
sag_leve,92.503,276.147,1.589,0.2006,60.017
sag_leve,93.107,266.956,1.428,0.4163,59.655
sag_leve,91.668,263.059,1.4227,0.3656,59.758
sag_leve,95.369,268.544,1.4183,0.3792,59.655
sag_leve,99.374,285.123,1.4144,0.1103,60.437
sag_leve,89.889,255.676,1.3594,0.423,59.603
sag_leve,88.841,254.894,1.4499,0.1483,60.543
sag_leve,96.723,277.562,1.4581,0.1818,60.122
sag_leve,88.845,253.21,1.4562,0.2372,59.965
sag_leve,93.885,270.727,1.4387,0.0808,60.279
sag_leve,96.7,286.179,1.5153,0.0992,60.437
sag_leve,100.993,286.19,1.3915,0.3032,59.913
sag_leve,92.429,263.954,1.4624,0.2214,60.017
sag_leve,94.379,275.337,1.4035,0.1419,60.332
