label,rms_mV,peak_to_peak_mV,crest_factor,rms_ripple_mV,frequency_hz
normal,116.136,333.981,1.431,0.2948,59.965
normal,122.242,343.798,1.3978,0.3937,59.81
normal,112.45,316.917,1.4174,0.1112,60.279
normal,122.912,356.589,1.4471,0.1807,60.174
normal,114.133,324.786,1.4484,0.105,60.279
normal,115.769,337.653,1.4609,0.2383,60.017
normal,116.482,345.332,1.5355,0.2954,60.017
normal,122.651,366.209,1.4734,0.3514,59.965
normal,119.68,342.717,1.4486,0.4274,59.758
normal,123.718,356.907,1.4524,0.1172,60.279
normal,112.17,325.504,1.3888,0.1015,60.227
normal,114.104,327.624,1.4216,0.094,60.332
normal,114.09,323.411,1.4365,0.2583,60.017
normal,114.192,326.075,1.3743,0.1383,60.174
normal,120.835,344.87,1.4482,0.1427,60.174
normal,114.938,310.257,1.3624,0.0752,60.332
normal,116.408,342.033,1.4401,0.3172,60.017
normal,115.405,321.804,1.4145,0.3248,59.913
normal,112.066,321.804,1.3812,0.3117,59.913
normal,118.226,336.05,1.4489,0.4461,59.758
normal,112.378,321.317,1.44,0.1136,60.332
normal,120.286,343.121,1.4892,0.1884,60.122
normal,118.611,343.792,1.449,0.0739,60.336
normal,111.644,315.164,1.4326,0.4017,59.81
normal,119.877,349.624,1.5081,0.285,60.017
normal,112.859,316.134,1.4373,0.2116,60.122
normal,118.846,343.589,1.4487,0.2072,60.122
normal,120.106,346.911,1.4393,0.1635,60.174
normal,115.253,328.802,1.4293,0.3603,59.861
normal,121.292,342.091,1.4032,0.1863,60.174
normal,116.402,326.877,1.4398,0.406,59.81
normal,121.626,345.241,1.4321,0.3858,59.81
normal,117.653,335.591,1.4045,0.1867,60.122
normal,117.146,334.078,1.4202,0.3727,59.861
normal,115.798,338.108,1.4996,0.0899,60.332
normal,118.65,342.433,1.4173,0.1124,60.336
normal,113.95,320.262,1.4221,0.0981,60.279
normal,116.272,337.275,1.4489,0.1055,60.279
normal,115.028,327.092,1.4265,0.2338,60.07
normal,119.136,338.044,1.4097,0.2743,60.0
normal,118.846,335.343,1.4098,0.126,60.227
normal,118.915,356.651,1.4809,0.1134,60.279
normal,118.783,339.969,1.3376,0.2808,60.017
normal,113.939,326.603,1.4491,0.1273,60.227
normal,122.636,345.897,1.4029,0.3493,59.861
normal,122.113,345.606,1.4869,0.4316,59.81
normal,122.662,352.519,1.425,0.3778,59.913
normal,115.075,336.701,1.4561,0.0826,60.332
normal,115.341,334.664,1.4552,0.3928,59.861
normal,116.915,336.87,1.4501,0.1641,60.174
normal,120.839,355.558,1.4244,0.4765,59.758
normal,122.073,340.023,1.3189,0.1228,60.227
normal,113.008,309.487,1.4073,0.2052,60.07
normal,114.757,329.693,1.3955,0.4167,59.81
normal,121.902,350.164,1.4072,0.3843,59.861
normal,118.598,329.068,1.3798,0.1902,60.122
normal,119.954,348.538,1.4805,0.1832,60.174
normal,119.644,345.784,1.4308,0.2006,60.122
normal,120.415,361.265,1.458,0.4195,59.913
normal,117.871,337.078,1.4342,0.2179,60.122
normal,121.72,351.976,1.4429,0.1517,60.174
normal,116.086,329.995,1.432,0.2679,60.017
normal,117.943,336.115,1.4101,0.4362,59.758
normal,121.963,346.532,1.48,0.215,60.174
normal,118.952,340.891,1.4491,0.2038,60.122
normal,117.295,336.878,1.4296,0.3104,59.913
normal,113.818,339.191,1.536,0.2212,60.122
normal,112.929,325.449,1.4371,0.1976,60.174
normal,117.574,335.39,1.4186,0.3909,59.81
normal,119.855,350.503,1.4692,0.2593,60.017
normal,113.76,323.026,1.3974,0.3324,59.913
