label,rms_mV,peak_to_peak_mV,crest_factor,rms_ripple_mV,frequency_hz
normal,116.136,333.981,1.431,0.2948,59.965
normal,122.242,343.798,1.3978,0.3937,59.81
normal,112.45,316.917,1.4174,0.1112,60.279
normal,122.912,356.589,1.4471,0.1807,60.174
normal,114.133,324.786,1.4484,0.105,60.279
normal,115.769,337.653,1.4609,0.2383,60.017
normal,116.482,345.332,1.5355,0.2954,60.017
normal,122.651,366.209,1.4734,0.3514,59.965
normal,119.68,342.717,1.4486,0.4274,59.758
normal,123.718,356.907,1.4524,0.1172,60.279
normal,112.17,325.504,1.3888,0.1015,60.227
normal,114.104,327.624,1.4216,0.094,60.332
normal,114.09,323.411,1.4365,0.2583,60.017
normal,114.192,326.075,1.3743,0.1383,60.174
normal,120.835,344.87,1.4482,0.1427,60.174
normal,114.938,310.257,1.3624,0.0752,60.332
normal,116.408,342.033,1.4401,0.3172,60.017
normal,115.405,321.804,1.4145,0.3248,59.913
normal,112.066,321.804,1.3812,0.3117,59.913
normal,118.226,336.05,1.4489,0.4461,59.758
normal,112.378,321.317,1.44,0.1136,60.332
normal,120.286,343.121,1.4892,0.1884,60.122
normal,118.611,343.792,1.449,0.0739,60.336
normal,111.644,315.164,1.4326,0.4017,59.81
normal,119.877,349.624,1.5081,0.285,60.017
normal,112.859,316.134,1.4373,0.2116,60.122
normal,118.846,343.589,1.4487,0.2072,60.122
normal,120.106,346.911,1.4393,0.1635,60.174
normal,115.253,328.802,1.4293,0.3603,59.861
normal,121.292,342.091,1.4032,0.1863,60.174
normal,116.402,326.877,1.4398,0.406,59.81
normal,121.626,345.241,1.4321,0.3858,59.81
normal,117.653,335.591,1.4045,0.1867,60.122
normal,117.146,334.078,1.4202,0.3727,59.861
normal,115.798,338.108,1.4996,0.0899,60.332
normal,118.65,342.433,1.4173,0.1124,60.336
normal,113.95,320.262,1.4221,0.0981,60.279
normal,116.272,337.275,1.4489,0.1055,60.279
normal,115.028,327.092,1.4265,0.2338,60.07
normal,119.136,338.044,1.4097,0.2743,60.0
normal,118.846,335.343,1.4098,0.126,60.227
normal,118.915,356.651,1.4809,0.1134,60.279
normal,118.783,339.969,1.3376,0.2808,60.017
normal,113.939,326.603,1.4491,0.1273,60.227
normal,122.636,345.897,1.4029,0.3493,59.861
normal,122.113,345.606,1.4869,0.4316,59.81
normal,122.662,352.519,1.425,0.3778,59.913
normal,115.075,336.701,1.4561,0.0826,60.332
normal,115.341,334.664,1.4552,0.3928,59.861
normal,116.915,336.87,1.4501,0.1641,60.174
normal,120.839,355.558,1.4244,0.4765,59.758
normal,122.073,340.023,1.3189,0.1228,60.227
normal,113.008,309.487,1.4073,0.2052,60.07
normal,114.757,329.693,1.3955,0.4167,59.81
normal,121.902,350.164,1.4072,0.3843,59.861
normal,118.598,329.068,1.3798,0.1902,60.122
normal,119.954,348.538,1.4805,0.1832,60.174
normal,119.644,345.784,1.4308,0.2006,60.122
normal,120.415,361.265,1.458,0.4195,59.913
normal,117.871,337.078,1.4342,0.2179,60.122
normal,121.72,351.976,1.4429,0.1517,60.174
normal,116.086,329.995,1.432,0.2679,60.017
normal,117.943,336.115,1.4101,0.4362,59.758
normal,121.963,346.532,1.48,0.215,60.174
normal,118.952,340.891,1.4491,0.2038,60.122
normal,117.295,336.878,1.4296,0.3104,59.913
normal,113.818,339.191,1.536,0.2212,60.122
normal,112.929,325.449,1.4371,0.1976,60.174
normal,117.574,335.39,1.4186,0.3909,59.81
normal,119.855,350.503,1.4692,0.2593,60.017
normal,113.76,323.026,1.3974,0.3324,59.913
sag_leve,89.895,250.943,1.3854,0.1218,60.49
sag_leve,94.329,275.082,1.439,0.0938,60.437
sag_leve,88.139,244.857,1.3694,0.1763,60.122
sag_leve,104.079,300.509,1.4772,0.135,60.174
sag_leve,91.071,257.254,1.3765,0.3624,59.706
sag_leve,91.102,260.809,1.4218,0.1118,60.53
sag_leve,101.63,291.193,1.4408,0.1845,60.122
sag_leve,100.799,291.377,1.4237,0.2213,60.017
sag_leve,104.986,301.868,1.4174,0.3262,59.861
sag_leve,104.919,303.833,1.4318,0.2338,60.07
sag_leve,95.521,284.778,1.4805,0.225,60.048
sag_leve,99.8,283.833,1.3791,0.2798,59.913
sag_leve,97.715,282.56,1.442,0.2959,59.913
sag_leve,105.12,295.966,1.3995,0.2729,59.913
sag_leve,98.986,284.411,1.4242,0.1672,60.122
sag_leve,96.145,275.091,1.461,0.0971,60.385
sag_leve,104.227,288.999,1.3772,0.4377,59.603
sag_leve,97.31,284.785,1.4694,0.4684,59.603
sag_leve,90.891,255.533,1.4094,0.1001,60.385
sag_leve,99.989,292.339,1.5109,0.3593,59.81
sag_leve,90.653,261.521,1.4528,0.3682,59.758
sag_leve,93.812,261.956,1.3509,0.3354,59.81
sag_leve,99.37,285.776,1.4055,0.4577,59.655
sag_leve,91.64,256.727,1.4177,0.2302,59.965
sag_leve,99.409,292.213,1.495,0.2723,59.965
sag_leve,103.969,296.347,1.447,0.263,59.965
sag_leve,96.779,268.072,1.3927,0.443,59.603
sag_leve,101.619,288.668,1.4582,0.245,59.965
sag_leve,91.485,261.954,1.4538,0.1609,60.122
sag_leve,88.7,258.66,1.4223,0.1,60.336
sag_leve,103.882,297.372,1.4253,0.4198,59.758
sag_leve,92.593,250.571,1.362,0.1197,60.332
sag_leve,96.658,284.493,1.4251,0.3512,59.861
sag_leve,101.314,293.327,1.4518,0.2196,60.017
sag_leve,94.555,270.159,1.4195,0.2385,59.965
sag_leve,94.247,276.608,1.458,0.2708,59.965
sag_leve,93.497,261.674,1.3804,0.3656,59.706
sag_leve,104.504,297.032,1.4555,0.4771,59.583
sag_leve,100.658,288.578,1.4453,0.1251,60.543
sag_leve,90.77,276.098,1.5217,0.2368,60.017
sag_leve,91.005,263.228,1.4227,0.206,60.07
sag_leve,91.342,271.416,1.4774,0.2003,60.07
sag_leve,104.626,301.095,1.4395,0.2019,60.07
sag_leve,96.687,279.067,1.4772,0.4512,59.603
sag_leve,101.109,289.547,1.4488,0.106,60.437
sag_leve,97.536,290.103,1.519,0.1616,60.543
sag_leve,96.209,280.744,1.4698,0.1495,60.174
sag_leve,91.471,278.261,1.5381,0.1403,60.385
sag_leve,103.704,293.013,1.4076,0.2527,60.017
sag_leve,88.434,251.116,1.4202,0.3272,59.81
sag_leve,91.736,267.863,1.4605,0.4493,59.552
sag_leve,98.81,281.758,1.4277,0.4932,59.552
sag_leve,99.702,281.722,1.4119,0.3592,59.81
sag_leve,105.492,306.121,1.4103,0.4456,59.706
sag_leve,101.482,287.902,1.4111,0.2187,60.07
sag_leve,96.562,279.471,1.4318,0.4478,59.603
sag_leve,96.322,275.66,1.3834,0.3331,59.81
sag_leve,103.708,298.235,1.4669,0.1447,60.174
sag_leve,98.626,283.872,1.428,0.4833,59.603
sag_leve,93.537,270.897,1.4629,0.1675,60.174
sag_leve,88.44,250.995,1.4413,0.4245,59.603
sag_leve,96.258,282.609,1.4567,0.1801,60.07
sag_leve,93.745,282.255,1.5017,0.3986,59.758
sag_leve,102.281,293.279,1.4637,0.0818,60.437
sag_leve,104.154,302.95,1.5012,0.1158,60.437
sag_leve,101.036,289.977,1.3593,0.0845,60.49
sag_leve,88.487,254.622,1.4336,0.1164,60.49
sag_leve,102.159,305.155,1.512,0.1463,60.279
sag_leve,91.753,269.779,1.4473,0.3814,59.758
sag_leve,94.042,273.101,1.4311,0.096,60.385
sag_leve,91.557,267.639,1.4426,0.3437,59.81
sag_leve,102.377,300.695,1.4845,0.1738,60.122
sag_leve,93.251,267.383,1.4667,0.1872,60.07
sag_leve,98.681,276.99,1.3975,0.2006,60.07
sag_leve,105.465,304.604,1.3931,0.097,60.279
sag_leve,96.261,280.514,1.5376,0.1024,60.385
sag_leve,87.945,253.937,1.4116,0.0958,60.482
sag_leve,100.734,285.639,1.4134,0.1075,60.385
sag_leve,104.542,297.266,1.4416,0.172,60.122
sag_leve,100.97,289.74,1.4519,0.0795,60.437
sag_leve,96.959,285.733,1.4723,0.511,59.552
sag_leve,103.904,291.685,1.456,0.1159,60.385
sag_leve,105.831,310.431,1.483,0.1204,60.543
sag_leve,97.341,285.145,1.426,0.4166,59.706
sag_leve,94.671,277.631,1.442,0.1933,60.122
sag_leve,89.046,255.792,1.4433,0.1225,60.49
sag_leve,99.594,286.677,1.4683,0.352,59.81
sag_leve,99.022,281.036,1.4056,0.3053,59.861
sag_leve,101.663,293.564,1.4222,0.1374,60.543
sag_leve,91.313,261.376,1.4643,0.2378,59.913
sag_leve,103.869,298.32,1.4434,0.1091,60.437
sag_leve,92.254,265.49,1.4329,0.4186,59.639
sag_leve,91.633,270.227,1.4981,0.4664,59.552
sag_leve,88.506,254.111,1.4199,0.4131,59.603
sag_leve,91.981,266.121,1.4854,0.1348,60.332
sag_leve,100.366,291.039,1.4726,0.3944,59.758
sag_leve,101.77,291.12,1.398,0.2197,60.017
sag_leve,88.805,274.064,1.5048,0.112,60.49
sag_leve,90.599,272.099,1.5758,0.1538,60.227
sag_leve,104.628,303.933,1.4614,0.4618,59.655
sag_leve,104.717,303.243,1.4002,0.355,59.861
sag_leve,97.701,281.858,1.4647,0.4787,59.552
sag_leve,103.38,289.291,1.3322,0.2537,59.965
sag_leve,95.147,272.88,1.4355,0.3766,59.758
sag_leve,104.069,298.941,1.4345,0.1441,60.174
sag_leve,98.897,286.302,1.446,0.0998,60.437
sag_leve,91.573,264.524,1.4455,0.2711,59.965
sag_leve,95.356,259.104,1.3694,0.303,59.81
sag_leve,98.28,281.541,1.4187,0.1254,60.49
sag_leve,95.186,273.643,1.4297,0.2707,59.913
sag_leve,93.366,271.199,1.4521,0.1874,60.07
sag_leve,90.597,245.523,1.3391,0.1047,60.437
sag_leve,95.001,269.622,1.369,0.3534,59.81
sag_leve,94.431,271.344,1.449,0.1056,60.227
sag_leve,90.903,261.146,1.437,0.1513,60.174
sag_leve,91.485,264.54,1.4367,0.1187,60.227
sag_leve,89.105,251.118,1.4163,0.2016,59.965
sag_leve,98.187,285.12,1.3898,0.4191,59.706
sag_leve,103.234,292.684,1.402,0.2455,60.017
sag_leve,104.362,297.438,1.3861,0.2689,60.017
sag_leve,93.395,288.336,1.539,0.1359,60.482
sag_leve,102.464,294.006,1.4435,0.271,59.965
sag_leve,101.844,296.632,1.4439,0.1008,60.437
sag_leve,102.235,278.447,1.299,0.1298,60.227
sag_leve,93.716,266.301,1.4337,0.2412,59.965
sag_leve,92.104,271.388,1.4652,0.4768,59.552
sag_leve,102.557,288.129,1.409,0.341,59.81
sag_leve,92.273,265.62,1.3668,0.2472,59.913
sag_leve,94.651,261.242,1.4064,0.3392,59.706
sag_leve,100.312,285.182,1.4358,0.4407,59.655
sag_leve,90.81,256.717,1.4098,0.0819,60.332
sag_leve,88.786,256.36,1.4679,0.2786,59.861
sag_leve,96.295,273.039,1.4001,0.3171,59.81
sag_leve,100.967,292.56,1.4544,0.3342,59.861
sag_leve,90.265,249.678,1.3862,0.2138,60.017
sag_leve,89.764,258.309,1.4684,0.2332,60.017
sag_leve,90.921,263.63,1.4733,0.1072,60.385
sag_leve,89.505,254.793,1.4192,0.0957,60.49
sag_leve,100.193,277.75,1.3759,0.3044,59.861
sag_leve,99.622,290.314,1.4529,0.2501,59.965
sag_leve,93.264,263.363,1.4038,0.1833,60.122
sag_leve,100.772,301.256,1.4565,0.293,59.965
sag_leve,97.815,279.305,1.4333,0.0823,60.437
sag_leve,99.403,282.086,1.4103,0.084,60.332
sag_leve,99.056,288.762,1.3946,0.2486,59.965
sag_leve,101.682,284.035,1.4069,0.1057,60.49
sag_leve,96.715,280.651,1.4553,0.1839,60.122
sag_leve,102.7,298.813,1.4303,0.4482,59.655
sag_leve,101.531,294.616,1.4341,0.4378,59.706
sag_leve,98.211,281.559,1.4577,0.3519,59.81
sag_leve,98.738,283.296,1.4385,0.2446,60.017
sag_leve,92.359,271.12,1.4286,0.132,60.279
sag_leve,104.313,298.337,1.4185,0.4684,59.655
sag_leve,93.105,265.646,1.4217,0.1149,60.332
sag_leve,103.462,294.985,1.4278,0.3567,59.81
sag_leve,89.477,258.472,1.4678,0.4136,59.655
sag_leve,100.766,286.924,1.4489,0.3888,59.706
sag_leve,88.128,254.745,1.4479,0.1088,60.227
sag_leve,94.121,275.197,1.4978,0.3159,59.861
sag_leve,95.228,272.999,1.3757,0.118,60.49
sag_leve,100.703,289.152,1.395,0.1257,60.227
sag_leve,89.277,255.174,1.4259,0.144,60.279
sag_leve,99.148,268.621,1.324,0.2512,59.965
sag_leve,93.972,272.359,1.4753,0.2265,60.017
sag_leve,95.567,275.031,1.4138,0.2633,59.965
sag_leve,102.079,299.363,1.4724,0.4127,59.758
sag_leve,90.017,257.374,1.4245,0.2078,60.017
sag_leve,89.855,257.835,1.4207,0.2838,59.913
sag_leve,91.376,262.098,1.4458,0.318,59.81
sag_leve,94.559,273.584,1.4485,0.3523,59.81
sag_leve,99.967,277.576,1.4061,0.107,60.227
sag_leve,104.509,293.38,1.4344,0.3538,59.81
sag_leve,97.779,283.052,1.441,0.3554,59.81
sag_leve,102.123,292.855,1.3897,0.3641,59.81
sag_leve,91.445,252.507,1.377,0.1038,60.543
sag_leve,100.377,286.207,1.421,0.4661,59.655
sag_leve,100.952,271.636,1.3418,0.4064,59.655
sag_leve,95.514,270.237,1.3873,0.298,59.913
sag_leve,95.411,268.89,1.4217,0.4366,59.603
sag_leve,100.416,287.985,1.4009,0.1324,60.279
sag_leve,95.894,268.999,1.3824,0.1184,60.279
sag_leve,105.313,306.175,1.4805,0.0806,60.385
sag_leve,101.783,290.228,1.4646,0.1322,60.227
sag_leve,104.582,294.399,1.4105,0.1444,60.174
sag_leve,93.832,285.043,1.5654,0.1462,60.543
sag_leve,104.471,294.042,1.3948,0.2413,60.017
sag_leve,92.503,276.147,1.589,0.2006,60.017
sag_leve,93.107,266.956,1.428,0.4163,59.655
sag_leve,91.668,263.059,1.4227,0.3656,59.758
sag_leve,95.369,268.544,1.4183,0.3792,59.655
sag_leve,99.374,285.123,1.4144,0.1103,60.437
sag_leve,89.889,255.676,1.3594,0.423,59.603
sag_leve,88.841,254.894,1.4499,0.1483,60.543
sag_leve,96.723,277.562,1.4581,0.1818,60.122
sag_leve,88.845,253.21,1.4562,0.2372,59.965
sag_leve,93.885,270.727,1.4387,0.0808,60.279
sag_leve,96.7,286.179,1.5153,0.0992,60.437
sag_leve,100.993,286.19,1.3915,0.3032,59.913
sag_leve,92.429,263.954,1.4624,0.2214,60.017
sag_leve,94.379,275.337,1.4035,0.1419,60.332
sag_severo,51.701,153.166,1.51,0.2551,59.758
sag_severo,71.475,212.098,1.4902,0.3687,59.603
sag_severo,62.936,187.441,1.4374,0.1701,60.174
sag_severo,74.562,218.114,1.4002,0.4334,59.47
sag_severo,61.208,179.736,1.4935,0.1611,60.596
sag_severo,54.038,162.892,1.4975,0.268,59.655
sag_severo,76.719,227.2,1.4364,0.1666,60.65
sag_severo,66.894,193.398,1.4428,0.5026,59.093
sag_severo,54.169,155.602,1.4324,0.1528,60.332
sag_severo,60.661,178.556,1.499,0.2646,59.758
sag_severo,75.419,222.604,1.5263,0.3006,59.81
sag_severo,70.619,210.306,1.4929,0.3132,59.706
sag_severo,64.861,189.986,1.4478,0.2818,61.025
sag_severo,53.141,155.594,1.4644,0.2224,60.227
sag_severo,70.182,213.297,1.5134,0.4986,59.398
sag_severo,80.576,233.583,1.4894,0.2379,60.81
sag_severo,84.37,252.743,1.503,0.356,60.917
sag_severo,64.266,194.253,1.536,0.1364,60.385
sag_severo,49.962,153.261,1.5356,0.1647,65.759
sag_severo,75.944,218.632,1.4429,0.2052,59.965
sag_severo,69.066,201.31,1.4453,0.2478,60.917
sag_severo,83.435,247.456,1.4415,0.3094,60.971
sag_severo,77.348,225.596,1.4619,0.4342,59.5
sag_severo,47.221,138.856,1.4083,0.1509,71.301
sag_severo,59.996,180.608,1.4779,0.2099,60.49
sag_severo,73.168,210.161,1.4572,0.1966,60.703
sag_severo,49.589,143.153,1.4221,0.1463,60.017
sag_severo,80.443,239.421,1.4981,0.4393,59.552
sag_severo,65.285,194.234,1.4866,0.2123,60.81
sag_severo,54.782,156.247,1.3483,0.3576,59.245
sag_severo,64.404,196.501,1.5309,0.3826,59.5
sag_severo,77.045,226.117,1.4644,0.5505,59.245
sag_severo,50.551,150.95,1.4594,0.2424,59.758
sag_severo,49.62,148.462,1.484,0.1394,60.385
sag_severo,75.715,221.788,1.513,0.2237,60.017
sag_severo,59.787,176.942,1.4828,0.3961,59.398
sag_severo,69.269,197.461,1.3913,0.1366,60.332
sag_severo,65.873,192.001,1.4634,0.3368,59.655
sag_severo,62.624,187.551,1.5123,0.5142,59.043
sag_severo,49.316,155.387,1.611,0.269,59.913
sag_severo,54.897,164.923,1.4859,0.1751,60.174
sag_severo,72.523,207.784,1.4555,0.16,60.703
sag_severo,85.514,249.544,1.4399,0.6521,59.195
sag_severo,55.572,162.466,1.4614,0.3855,59.347
sag_severo,59.017,177.889,1.4604,0.3635,59.47
sag_severo,55.198,162.502,1.5077,0.243,60.917
sag_severo,62.685,185.479,1.5116,0.4403,59.245
sag_severo,53.057,161.375,1.6135,0.135,60.227
sag_severo,66.771,194.82,1.4381,0.1504,60.676
sag_severo,71.162,202.768,1.4348,0.1731,60.279
sag_severo,82.669,242.463,1.4683,0.6217,59.144
sag_severo,65.36,192.907,1.5249,0.1601,60.49
sag_severo,77.032,221.085,1.4127,0.1825,60.703
sag_severo,82.556,231.363,1.4639,0.1417,60.385
sag_severo,85.797,261.438,1.4529,0.5987,59.398
sag_severo,66.128,192.088,1.4584,0.1075,60.227
sag_severo,82.989,241.684,1.5077,0.4197,59.603
sag_severo,77.568,232.428,1.4946,0.1451,60.174
sag_severo,54.868,160.857,1.4188,0.1648,60.017
sag_severo,73.503,212.083,1.4554,0.1853,60.596
sag_severo,83.252,241.939,1.4406,0.1945,60.437
sag_severo,80.98,244.788,1.514,0.5824,59.296
sag_severo,47.195,139.742,1.4834,0.1811,60.65
sag_severo,80.392,236.499,1.4767,0.5189,59.449
sag_severo,74.695,223.696,1.5137,0.2487,60.017
sag_severo,86.336,254.726,1.469,0.3549,60.917
sag_severo,73.608,217.652,1.5196,0.1872,60.596
sag_severo,74.924,224.311,1.5247,0.5775,59.144
sag_severo,76.348,225.888,1.4769,0.171,60.385
sag_severo,49.705,144.45,1.4662,0.363,59.296
sag_severo,60.443,174.84,1.4637,0.2339,60.917
sag_severo,56.852,167.807,1.5077,0.146,60.385
sag_severo,71.347,201.893,1.4718,0.1974,60.227
sag_severo,49.983,149.0,1.433,0.2643,59.552
sag_severo,85.645,251.529,1.4522,0.5876,59.296
sag_severo,71.137,215.749,1.5088,0.5917,59.144
sag_severo,74.656,216.338,1.486,0.1955,60.122
sag_severo,68.026,190.685,1.4688,0.206,59.965
sag_severo,65.898,201.132,1.6046,0.2215,65.817
sag_severo,46.978,145.84,1.5598,0.1646,70.505
sag_severo,53.482,157.142,1.4854,0.0929,60.543
sag_severo,75.37,214.177,1.4369,0.2212,60.703
sag_severo,59.642,176.595,1.5089,0.2522,60.017
sag_severo,60.358,174.943,1.4282,0.1808,60.543
sag_severo,51.768,154.099,1.4855,0.2122,60.81
sag_severo,77.653,218.759,1.3969,0.3568,59.655
sag_severo,81.542,235.638,1.4476,0.1688,60.122
sag_severo,83.463,243.706,1.4798,0.1394,60.174
sag_severo,67.757,197.673,1.4868,0.4093,59.449
sag_severo,81.538,239.108,1.4425,0.3479,59.913
sag_severo,81.76,236.075,1.4303,0.1549,60.596
sag_severo,53.296,156.473,1.5173,0.3742,59.195
sag_severo,67.058,196.395,1.4511,0.406,59.449
sag_severo,61.128,185.029,1.4795,0.2839,61.025
sag_severo,69.144,201.428,1.5057,0.2804,59.81
sag_severo,62.002,178.881,1.4614,0.3042,59.603
sag_severo,81.485,246.063,1.5239,0.2753,60.596
sag_severo,68.076,195.04,1.4243,0.2643,59.913
sag_severo,80.388,227.322,1.3976,0.4217,59.552
sag_severo,78.982,233.161,1.4763,0.3362,59.861
sag_severo,48.63,139.685,1.5068,0.2499,59.861
sag_severo,83.535,243.866,1.4373,0.3932,59.639
sag_severo,76.364,218.617,1.3524,0.5412,59.189
sag_severo,82.877,246.357,1.5172,0.2002,60.596
sag_severo,75.225,217.595,1.4467,0.3082,60.823
sag_severo,85.844,257.935,1.5168,0.3588,59.81
sag_severo,61.462,187.254,1.4962,0.2735,60.872
sag_severo,55.261,170.286,1.5384,0.1979,66.338
sag_severo,82.723,238.906,1.4427,0.2163,60.703
sag_severo,75.378,215.548,1.4117,0.2769,59.861
sag_severo,82.315,250.369,1.4896,0.3932,59.706
sag_severo,81.975,242.664,1.5212,0.5568,59.296
sag_severo,57.302,166.867,1.3942,0.3265,59.5
sag_severo,83.174,242.961,1.4395,0.2427,60.174
sag_severo,50.752,149.735,1.5443,0.2531,59.655
sag_severo,65.35,190.759,1.4512,0.1829,65.645
sag_severo,57.608,172.559,1.4851,0.492,64.465
sag_severo,73.045,209.478,1.4174,0.3861,59.5
sag_severo,59.642,182.054,1.5896,0.2121,60.122
sag_severo,83.541,246.046,1.4379,0.2055,60.07
sag_severo,59.151,175.541,1.4967,0.1784,60.332
sag_severo,84.627,240.754,1.3576,0.2373,60.07
